SN,Date,No. of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Total Amount,Prev. Closing,Difference(Rs),% Change
1,2020-01-01,37,623,612,619,6310,3886900,623,-4,-0.64
2,2019-12-31,39,649,620,623,3034,1896758,662,-39,-5.89
3,2019-12-30,134,662,655,662,28830,19005838,659,3,0.46
4,2019-12-29,47,664,658,659,6455,4254337,657,2,0.3
5,2019-12-26,45,668,654,657,3815,2506070,657,0,0
6,2019-12-25,48,660,650,657,7225,4735546,653,4,0.61
7,2019-12-24,166,670,650,653,15459,10112842,659,-6,-0.91
8,2019-12-23,38,659,637,659,5000,3210900,641,18,2.81
9,2019-12-22,20,643,635,641,2262,1443946,636,5,0.79
10,2019-12-19,31,652,632,636,1808,1152456,643,-7,-1.09
11,2019-12-18,16,646,640,643,930,595710,642,1,0.16
12,2019-12-17,28,649,637,642,1540,985000,640,2,0.31
13,2019-12-16,45,659,636,640,10455,6678195,659,-19,-2.88
14,2019-12-15,21,677,637,659,530,345650,651,8,1.23
15,2019-12-12,16,669,651,651,825,539335,656,-5,-0.76
16,2019-12-11,13,670,646,656,1290,846380,651,5,0.77
17,2019-12-10,31,678,650,651,1667,1093140,665,-14,-2.11
18,2019-12-09,61,667,649,665,6915,4517310,670,-5,-0.75
19,2019-12-08,43,673,630,670,1902,1228946,642,28,4.36
20,2019-12-05,3,642,639,642,110,70370,637,5,0.78
21,2019-12-04,14,637,625,637,1320,827618,630,7,1.11
22,2019-12-03,21,639,620,630,2383,1492320,637,-7,-1.1
23,2019-12-02,18,642,630,637,615,390170,639,-2,-0.31
24,2019-12-01,17,639,630,639,1222,776952,633,6,0.95
25,2019-11-28,26,635,625,633,2920,1827460,634,-1,-0.16
26,2019-11-27,26,634,620,634,4005,2500365,622,12,1.93
27,2019-11-26,22,635,620,622,2920,1818210,628,-6,-0.96
28,2019-11-25,20,632,619,628,2065,1280205,621,7,1.13
29,2019-11-24,22,624,620,621,2538,1574629,624,-3,-0.48
30,2019-11-21,27,627,621,624,5775,3591300,623,1,0.16
31,2019-11-20,19,635,623,623,1565,977350,626,-3,-0.48
32,2019-11-19,23,627,617,626,2865,1782920,624,2,0.32
33,2019-11-18,16,630,618,624,1790,1107990,624,0,0
34,2019-11-17,30,630,615,624,6934,4282274,620,4,0.65
35,2019-11-14,14,634,620,620,1385,861710,622,-2,-0.32
36,2019-11-13,20,632,618,622,2700,1676930,620,2,0.32
37,2019-11-12,24,626,615,620,5130,3172530,618,2,0.32
38,2019-11-11,28,626,615,618,3030,1870895,623,-5,-0.8
39,2019-11-10,29,634,612,623,3005,1847259,615,8,1.3
40,2019-11-07,23,620,615,615,2685,1657755,617,-2,-0.32
41,2019-11-06,27,625,617,617,1550,961640,624,-7,-1.12
42,2019-11-05,18,629,621,624,2100,1306940,627,-3,-0.48
43,2019-11-04,12,643,620,627,770,481440,633,-6,-0.95
44,2019-11-03,24,645,625,633,1587,998915,638,-5,-0.78
45,2019-10-31,27,642,627,638,2460,1555620,632,6,0.95
46,2019-10-24,10,632,625,632,270,169660,620,12,1.94
47,2019-10-23,15,635,619,620,1320,819350,616,4,0.65
48,2019-10-22,26,624,616,616,2815,1739180,620,-4,-0.65
49,2019-10-21,21,629,618,620,2100,1301600,620,0,0
50,2019-10-17,33,647,620,620,5255,3260885,623,-3,-0.48
51,2019-10-16,24,640,623,623,1485,933310,634,-11,-1.74
52,2019-10-15,20,653,630,634,725,458015,629,5,0.79
53,2019-10-14,26,647,622,629,11910,7418554,636,-7,-1.1
54,2019-10-10,16,649,625,636,590,371070,637,-1,-0.16
55,2019-10-03,26,649,625,637,1285,810365,637,0,0
56,2019-10-02,12,645,625,637,458,290278,627,10,1.59
57,2019-10-01,29,635,620,627,20880,12950805,616,11,1.79
58,2019-09-30,33,635,614,616,1510,933430,629,-13,-2.07
59,2019-09-29,16,646,624,629,375,236160,627,2,0.32
60,2019-09-26,38,630,615,627,3510,2168758,627,0,0
61,2019-09-25,27,633,613,627,960,595540,622,5,0.8
62,2019-09-24,27,634,614,622,1785,1106095,628,-6,-0.96
63,2019-09-23,11,634,622,628,220,138410,625,3,0.48
64,2019-09-22,30,641,613,625,1205,749130,617,8,1.3
65,2019-09-19,54,645,616,617,9285,5783688,633,-16,-2.53
66,2019-09-18,48,662,626,633,4045,2559000,627,6,0.96
67,2019-09-17,28,646,620,627,10113,6471276,606,21,3.47
68,2019-09-16,42,650,606,606,2820,1750275,624,-18,-2.88
69,2019-09-15,19,640,612,624,830,522420,626,-2,-0.32
70,2019-09-12,52,630,620,626,12194,7602350,629,-3,-0.48
71,2019-09-11,14,631,625,629,2180,1365690,630,-1,-0.16
72,2019-09-10,47,635,620,630,5493,3453377,632,-2,-0.32
73,2019-09-09,37,651,630,632,7140,4519263,639,-7,-1.1
74,2019-09-08,57,647,637,639,7265,4658521,651,-12,-1.84
75,2019-09-05,32,659,641,651,4940,3202340,653,-2,-0.31
76,2019-09-04,55,660,647,653,13925,9090810,655,-2,-0.31
77,2019-09-03,58,656,643,655,10060,6515830,658,-3,-0.46
78,2019-09-02,32,689,647,658,7735,5103720,663,-5,-0.75
79,2019-09-01,22,669,660,663,3528,2343357,667,-4,-0.6
80,2019-08-29,19,670,664,667,3235,2149025,665,2,0.3
81,2019-08-28,17,683,665,665,965,644650,670,-5,-0.75
82,2019-08-27,12,675,666,670,5835,3911275,670,0,0
83,2019-08-26,23,672,665,670,960,641160,675,-5,-0.74
84,2019-08-25,23,677,665,675,7115,4744249,674,1,0.15
85,2019-08-22,25,682,666,674,2375,1588601,669,5,0.75
86,2019-08-21,12,675,665,669,1835,1222970,665,4,0.6
87,2019-08-20,26,668,663,665,2940,1953490,670,-5,-0.75
88,2019-08-19,45,672,668,670,6493,4347754,666,4,0.6
89,2019-08-18,33,682,666,666,9920,6673895,679,-13,-1.91
90,2019-08-15,64,688,670,679,9285,6275605,686,-7,-1.02
91,2019-08-14,22,692,680,686,2690,1832790,685,1,0.15
92,2019-08-13,36,692,685,685,2465,1691685,689,-4,-0.58
93,2019-08-12,29,693,687,689,14415,9962665,689,0,0
94,2019-08-11,23,695,686,689,3027,2079562,687,2,0.29
95,2019-08-08,24,695,687,687,2857,1972841,692,-5,-0.72
96,2019-08-07,19,695,686,692,9280,6411540,691,1,0.14
97,2019-08-06,18,694,690,691,4290,2966090,691,0,0
98,2019-08-05,25,694,690,691,4955,3423230,695,-4,-0.58
99,2019-08-04,23,695,691,695,4403,3047898,694,1,0.14
100,2019-08-01,22,701,694,694,2720,1892165,698,-4,-0.57
101,2019-07-31,12,699,690,698,1810,1258460,695,3,0.43
102,2019-07-30,22,703,685,695,5076,3511366,693,2,0.29
103,2019-07-29,12,695,687,693,1000,689710,691,2,0.29
104,2019-07-28,24,692,687,691,2094,1439208,695,-4,-0.58
105,2019-07-25,25,698,693,695,4585,3191200,699,-4,-0.57
106,2019-07-24,12,699,693,699,1550,1078750,697,2,0.29
107,2019-07-23,25,705,693,697,6625,4596855,699,-2,-0.29
108,2019-07-22,15,699,695,699,3255,2273380,698,1,0.14
109,2019-07-21,25,700,690,698,3243,2252180,693,5,0.72
110,2019-07-18,14,697,692,693,1915,1328900,696,-3,-0.43
111,2019-07-17,40,703,692,696,15752,10939554,693,3,0.43
112,2019-07-16,29,724,685,693,2115,1458470,690,3,0.43
113,2019-07-15,19,690,686,690,1395,958710,685,5,0.73
114,2019-07-14,21,696,681,685,2725,1864575,683,2,0.29
115,2019-07-11,48,695,683,683,15488,10639550,686,-3,-0.44
116,2019-07-10,51,700,685,686,18725,12854155,694,-8,-1.15
117,2019-07-09,57,694,687,694,6630,4568735,693,1,0.14
118,2019-07-08,17,697,690,693,6555,4530735,697,-4,-0.57
119,2019-07-07,40,698,692,697,7865,5450650,698,-1,-0.14
120,2019-07-04,39,705,693,698,55909,38803394,700,-2,-0.29
121,2019-07-03,25,707,694,700,8880,6185680,694,6,0.86
122,2019-07-02,49,699,692,694,14563,10154981,698,-4,-0.57
123,2019-07-01,32,700,690,698,11164,7792808,702,-4,-0.57
124,2019-06-30,35,715,696,702,10990,7685545,703,-1,-0.14
125,2019-06-27,25,704,696,703,6670,4676932,700,3,0.43
126,2019-06-26,27,700,695,700,6910,4820590,699,1,0.14
127,2019-06-25,14,699,691,699,2210,1537370,698,1,0.14
128,2019-06-24,23,698,690,698,4335,2999575,690,8,1.16
129,2019-06-19,26,700,690,694,1665,1153210,690,4,0.58
130,2019-06-18,45,700,690,690,9952,6884660,695,-5,-0.72
131,2019-06-17,33,699,690,695,4570,3171015,694,1,0.14
132,2019-06-16,72,700,690,694,5190,3599245,700,-6,-0.86
133,2019-06-13,29,710,692,700,1355,946330,703,-3,-0.43
134,2019-06-12,32,707,696,703,6920,4842775,700,3,0.43
135,2019-06-11,32,704,695,700,2790,1950480,705,-5,-0.71
136,2019-06-10,66,718,695,705,23548,16435027,713,-8,-1.12
137,2019-06-06,47,745,680,713,8335,5851650,710,3,0.42
138,2019-06-04,34,715,701,710,6820,4839090,715,-5,-0.7
139,2019-06-03,36,728,712,715,8659,6181717,717,-2,-0.28
140,2019-06-02,91,735,711,717,18937,13548825,731,-14,-1.92
141,2019-05-30,71,754,725,731,30060,21994480,728,3,0.41
142,2019-05-29,54,728,722,728,24615,17804520,729,-1,-0.14
143,2019-05-28,41,734,716,729,16840,12262405,728,1,0.14
144,2019-05-27,44,732,715,728,16400,11945250,726,2,0.28
